TrajectoryID,x,y,z
16,0.6466688,1.520434,-0.2736853
16,0.3991433,1.528266,-0.2479841
16,0.3061974,1.523801,-0.191349
16,0.2796095,1.552473,-0.1440305
16,0.2701908,1.549545,-0.1367113
16,0.2129257,1.560968,-0.1221346
16,-0.1731079,1.577464,-0.2903954
16,-0.1634338,1.579449,-0.3120574
16,0.008316657,1.619688,-0.3852889
16,0.004996877,1.623285,-0.3859322
16,-0.009846624,1.618394,-0.3821838
16,-0.02324023,1.602996,-0.3720239
16,-0.02402374,1.5752,-0.3552449
16,-0.007168623,1.561212,-0.3228837
16,-0.008135542,1.561049,-0.3211053
16,-0.009459853,1.560556,-0.3206955
16,-0.01427716,1.56083,-0.3209225
16,-0.02314322,1.565744,-0.3231117
16,0.01838094,1.574244,-0.3235382
16,0.1059799,1.569169,-0.3657048
16,0.1066838,1.568621,-0.3648392
16,0.04706187,1.568401,-0.3136021
16,-0.04661839,1.562169,-0.2393528
16,-0.05171176,1.556264,-0.2176672
16,0.1936498,1.556307,0.01495243
16,0.2238088,1.555323,0.06628762
16,0.2221787,1.560333,0.07215789
16,0.2221447,1.560531,0.07685342
16,0.2245225,1.560463,0.08127522
16,0.2291819,1.560947,0.08447801
16,0.242501,1.559664,0.0831894
16,0.2681432,1.561213,0.06725445
16,0.2683559,1.562183,0.06566818
16,0.2644951,1.56372,0.06060812
16,0.254839,1.562163,0.06188231
16,0.2517947,1.562908,0.0639775
16,0.2515465,1.563037,0.06548212
16,0.29342,1.564109,0.07770099
16,0.3214028,1.557586,0.1035683
16,0.3215216,1.55736,0.1042328
16,0.3197219,1.557218,0.1082955
16,0.3176369,1.555948,0.1104609
16,0.3168773,1.556642,0.110933
16,0.3169244,1.556545,0.1111424
16,0.3169282,1.556329,0.1112238
16,0.3169559,1.556242,0.1114035
16,0.3169988,1.55628,0.1117644
16,0.317255,1.55627,0.1120098
16,0.3245987,1.555963,0.107903
16,0.3245637,1.556052,0.1078609
16,0.3242043,1.556038,0.1077161
16,0.3235543,1.555447,0.1076125
16,0.3235821,1.554871,0.1075607
16,0.325075,1.553721,0.1076799
16,0.3250594,1.553404,0.1076461
16,0.3249053,1.552893,0.1072715
16,0.3249236,1.552769,0.1067135
16,0.3249257,1.552963,0.1060013
16,0.3232617,1.553575,0.1045256
16,0.3218168,1.554423,0.1043545
16,0.319728,1.554011,0.1055499
16,0.3198926,1.553893,0.1055975
16,0.3205083,1.553902,0.1057312
16,0.3208438,1.553671,0.1058462
16,0.3207929,1.553479,0.1058134
16,0.3207165,1.553424,0.1057832
16,0.3200229,1.553746,0.1051336
16,0.3198012,1.554107,0.1045073
16,0.3185614,1.554439,0.103709
16,0.3179225,1.554478,0.1039302
16,0.317866,1.554432,0.1040693
16,0.3179017,1.554324,0.1041863
16,0.3191259,1.553419,0.1044637
16,0.3192118,1.553389,0.104372
16,0.3191612,1.553431,0.1043261
16,0.3191561,1.553441,0.1042816
16,0.3174944,1.553827,0.1043832
16,0.317373,1.553757,0.1045811
16,0.3147259,1.554066,0.1054809
16,0.3145427,1.553814,0.1057308
16,0.3145738,1.553761,0.1058471
16,0.3151373,1.553609,0.1061547
16,0.3160861,1.553504,0.1061557
16,0.3159791,1.553488,0.1061124
16,0.3159554,1.553537,0.1060731
16,0.3159385,1.553569,0.106117
16,0.3155335,1.553712,0.106343
16,0.3152339,1.553652,0.1066555
16,0.315199,1.553581,0.1067396
16,0.3151897,1.553495,0.1070363
16,0.3152988,1.553329,0.1072454
16,0.3160507,1.553247,0.1074169
16,0.3162991,1.553366,0.1075148
16,0.3166779,1.553344,0.1078965
16,0.3166169,1.553302,0.1081
16,0.316475,1.552682,0.1087424
16,0.3165367,1.552769,0.1088522
16,0.3164954,1.552816,0.1089806
16,0.3164933,1.55296,0.1090214
16,0.3164895,1.553185,0.1094023
16,0.3162796,1.553108,0.1094659
16,0.3159831,1.553213,0.1096653
16,0.3158104,1.553455,0.1099395
16,0.3160612,1.553653,0.1103819
16,0.316153,1.553593,0.1106177
16,0.316484,1.552357,0.1113912
16,0.3167369,1.552263,0.1114995
16,0.3169784,1.552277,0.1115645
16,0.3179002,1.553055,0.1116261
16,0.3177994,1.554248,0.1119634
16,0.3175172,1.554811,0.1119109
16,0.3177441,1.55602,0.1126318
16,0.3177781,1.555999,0.1126039
16,0.3176253,1.555717,0.1126435
16,0.2648015,1.561801,0.09624685
16,0.1851597,1.563876,0.09433161
16,0.1822602,1.56385,0.09675152
16,0.1821341,1.563956,0.09726964
16,0.1831254,1.5642,0.09944459
16,0.2344975,1.557405,0.09081218
16,0.2592125,1.559612,0.08100595
16,0.2592738,1.559726,0.08093357
16,0.2602409,1.559837,0.08064541
16,0.2660637,1.559169,0.08239384
16,0.2673985,1.559082,0.08362678
16,0.2675992,1.558637,0.08430414
16,0.2673821,1.558556,0.08451918
16,0.2672492,1.558632,0.08476272
16,0.2671779,1.55859,0.08492162
16,0.2672203,1.558548,0.08514
16,0.2672764,1.558589,0.08516437
16,0.2672408,1.55856,0.08518019
16,0.2671581,1.558585,0.08513082
16,0.2668719,1.558542,0.08505671
16,0.2664951,1.558635,0.08486089
16,0.2663818,1.558756,0.0847339
16,0.2662343,1.558739,0.08463515
16,0.2661405,1.558761,0.08442932
16,0.2661857,1.558671,0.08428095
16,0.2662019,1.558698,0.08418045
16,0.2715275,1.558639,0.08266601
16,0.2718912,1.558299,0.08234921
16,0.2718891,1.558261,0.08217639
16,0.2715692,1.558782,0.0815548
16,0.2714264,1.559154,0.08141659
16,0.2715248,1.559342,0.08145477
16,0.2715695,1.559461,0.08137332
16,0.2731687,1.559642,0.0809325
16,0.2748694,1.559346,0.07966569
16,0.2748993,1.559308,0.0794535
16,0.2728822,1.559577,0.07807441
16,0.2731057,1.558873,0.07744937
16,0.2763176,1.55817,0.07607604
16,0.2787328,1.558021,0.07585622
16,0.2800363,1.557906,0.07635115
16,0.2806798,1.557621,0.07717304
